file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,132,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,12
style.css,133,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,14
style.css,134,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,14
style.css,135,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,136,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,137,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,12
style.css,138,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,10
style.css,139,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,16
style.css,140,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,5
style.css,141,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,142,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,143,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,8
style.css,144,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,5
style.css,145,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,10
style.css,146,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,55
style.css,147,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,39
style.css,148,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,9
style.css,149,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,6
style.css,150,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,7
style.css,151,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,13
style.css,152,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,4
style.css,153,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,154,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,155,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,10
style.css,156,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,10
style.css,157,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,16
style.css,158,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,7
style.css,159,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,160,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,161,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,5
style.css,162,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,18
style.css,163,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,7
style.css,164,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,8
style.css,165,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,16
style.css,166,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,27
style.css,167,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,15
style.css,168,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,169,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,170,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,14
style.css,171,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,11
style.css,172,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,28
style.css,173,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,32
style.css,174,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,8
style.css,175,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,176,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,177,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,16
style.css,178,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,15
style.css,179,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,13
style.css,180,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,24
style.css,181,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,182,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,183,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,25
style.css,184,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,34
style.css,185,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,9
style.css,186,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,187,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,188,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,2
style.css,189,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,14
style.css,190,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,12
style.css,191,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,192,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,193,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,7
style.css,194,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,33
style.css,195,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,196,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,197,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,16
style.css,198,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,19
style.css,199,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,200,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,0
style.css,201,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,12
style.css,202,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,0,8
style.css,203,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,8
style.css,204,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,11
style.css,205,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,15
style.css,206,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,10
style.css,207,css,db5b6c8c,Roman,2026-05-01,15:28:52,-07:00,2026-05-01T15:28:52-07:00,1,19
style.css,208,css,00000000,Not Committed Yet,2026-05-08,15:02:23,-07:00,2026-05-08T15:02:23-07:00,0,0
style.css,209,css,00000000,Not Committed Yet,2026-05-08,15:02:23,-07:00,2026-05-08T15:02:23-07:00,0,0
style.css,210,css,00000000,Not Committed Yet,2026-05-08,15:02:23,-07:00,2026-05-08T15:02:23-07:00,0,4
